Item,Value,Weight
0,20,13
1,17,16
2,17,2
3,20,18
4,4,16
5,7,9
6,17,18
7,8,9
8,6,5
9,11,8
10,6,16
11,11,16
12,6,1
13,15,9
14,20,5
15,15,14
16,2,1
17,9,18
18,15,15
19,11,18
20,5,1
21,2,5
22,7,8
23,2,1
24,20,2
25,17,20
26,18,16
27,16,13
28,10,9
29,2,13
30,12,2
31,4,19
32,15,11
33,13,18
34,12,18
35,3,3
36,15,16
37,12,5
38,1,10
39,2,1
40,9,5
41,20,3
42,14,16
43,9,5
44,20,15
45,5,6
46,7,18
47,16,5
48,6,10
49,4,16
50,6,4
51,17,15
52,15,6
53,13,6
54,6,12
55,10,15
56,11,8
57,13,1
58,15,9
59,19,20
60,5,20
61,7,18
62,14,3
63,18,4
64,10,15
65,13,19
66,11,8
67,13,19
68,4,1
69,19,19
70,12,17
71,14,15
72,3,2
73,5,9
74,9,9
75,16,2
76,11,11
77,10,20
78,12,19
79,3,20
80,11,7
81,19,15
82,20,8
83,17,8
84,15,19
85,6,8
86,7,14
87,9,16
88,13,4
89,13,10
90,3,17
91,15,19
92,9,3
93,12,17
94,9,10
95,10,12
96,19,7
97,5,13
98,6,3
99,20,20
100,1,11
101,11,15
102,20,18
103,18,1
104,19,11
105,20,3
106,20,12
107,1,15
108,17,1
109,7,1
110,2,1
111,8,19
112,4,7
113,14,13
114,8,10
115,14,20
116,19,3
117,17,12
118,20,18
119,19,7
120,8,7
121,7,15
122,1,9
123,8,18
124,1,9
125,6,8
126,5,4
127,13,6
128,12,12
129,12,5
130,16,4
131,7,3
132,13,18
133,15,2
134,18,15
135,10,17
136,8,13
137,15,16
138,20,15
139,12,9
140,5,8
141,1,18
142,8,8
143,16,5
144,20,17
145,12,17
146,19,19
147,15,16
148,5,7
149,11,10
150,14,19
151,19,11
152,10,6
153,15,9
154,2,8
155,15,8
156,16,10
157,7,9
158,15,20
159,2,11
160,20,14
161,18,2
162,4,4
163,13,17
164,15,3
165,7,14
166,14,14
167,15,18
168,20,19
169,6,10
170,20,14
171,14,10
172,8,3
173,12,4
174,11,12
175,7,2
176,14,6
177,12,6
178,9,8
179,20,2
180,8,3
181,19,20
182,5,18
183,16,20
184,8,14
185,12,17
186,20,1
187,15,17
188,15,14
189,11,1
190,4,2
191,6,6
192,10,9
193,1,3
194,17,9
195,2,7
196,11,20
197,2,1
198,16,3
199,19,10
200,15,11
201,5,10
202,8,19
203,3,1
204,10,17
205,14,8
206,17,4
207,12,14
208,17,18
209,9,19
210,20,8
211,7,5
212,18,17
213,2,7
214,1,12
215,17,15
216,18,18
217,7,11
218,5,1
219,1,19
220,13,9
221,13,17
222,8,4
223,20,15
224,8,17
225,7,1
226,5,15
227,18,17
228,1,3
229,17,11
230,10,12
231,16,20
232,19,15
233,17,15
234,6,5
235,19,12
236,4,13
237,1,18
238,2,3
239,6,8
240,17,11
241,18,2
242,8,17
243,11,5
244,7,20
245,13,1
246,8,20
247,16,19
248,2,13
249,5,19
250,20,18
251,10,2
252,3,9
253,5,5
254,5,13
255,13,20
256,10,3
257,20,7
258,7,14
259,2,1
260,3,11
261,14,7
262,1,19
263,2,3
264,15,10
265,12,15
266,17,20
267,1,6
268,4,14
269,9,4
270,3,1
271,13,15
272,6,9
273,18,20
274,8,16
275,9,8
276,3,4
277,3,15
278,7,3
279,16,3
280,9,16
281,9,10
282,11,12
283,6,1
284,19,11
285,2,13
286,12,5
287,1,5
288,16,17
289,8,6
290,2,7
291,2,18
292,1,20
293,5,15
294,6,5
295,10,5
296,10,7
297,19,20
298,20,17
299,1,5
300,4,14
301,8,16
302,17,8
303,1,5
304,8,10
305,9,1
306,9,12
307,5,13
308,8,18
309,16,12
310,19,20
311,1,19
312,18,20
313,19,3
314,14,2
315,20,11
316,12,17
317,14,1
318,12,16
319,16,14
320,15,17
321,11,2
322,19,2
323,19,1
324,12,14
325,10,19
326,2,19
327,16,1
328,16,1
329,2,16
330,1,14
331,6,13
332,10,3
333,13,9
334,9,15
335,11,15
336,20,11
337,10,8
338,6,4
339,16,9
340,2,17
341,8,9
342,18,1
343,15,12
344,16,7
345,6,3
346,19,10
347,1,9
348,19,2
349,14,9
350,5,1
351,16,8
352,18,12
353,5,14
354,2,8
355,15,2
356,14,2
357,4,12
358,10,8
359,3,8
360,16,3
361,11,16
362,2,16
363,20,16
364,19,9
365,13,9
366,14,3
367,10,9
368,18,1
369,15,7
370,16,18
371,8,5
372,17,14
373,1,17
374,14,1
375,12,17
376,15,3
377,13,12
378,3,14
379,4,17
380,17,2
381,4,17
382,7,14
383,16,1
384,20,19
385,16,12
386,11,6
387,6,10
388,2,4
389,19,6
390,20,13
391,7,8
392,12,12
393,19,20
394,15,17
395,5,12
396,15,9
397,1,18
398,15,16
399,18,15
400,18,6
401,17,16
402,3,13
403,10,17
404,7,2
405,2,9
406,11,15
407,9,17
408,12,8
409,14,15
410,5,16
411,7,4
412,12,6
413,9,2
414,12,16
415,8,1
416,20,10
417,8,3
418,12,19
419,14,9
420,8,19
421,12,8
422,15,3
423,13,11
424,4,3
425,4,15
426,8,4
427,19,18
428,14,4
429,19,7
430,12,5
431,3,10
432,8,3
433,10,11
434,7,10
435,10,20
436,20,4
437,17,17
438,12,4
439,12,8
440,9,15
441,6,8
442,10,5
443,2,6
444,15,14
445,2,2
446,1,3
447,15,14
448,17,5
449,16,18
450,10,14
451,10,4
452,12,9
453,17,9
454,16,17
455,13,8
456,17,11
457,5,7
458,9,8
459,9,14
460,7,18
461,12,6
462,17,7
463,6,8
464,8,8
465,19,5
466,18,1
467,7,17
468,19,1
469,14,18
470,8,17
471,13,20
472,12,4
473,4,9
474,16,13
475,5,2
476,11,1
477,4,17
478,4,8
479,20,20
480,14,1
481,10,2
482,17,15
483,6,10
484,18,7
485,14,13
486,1,4
487,1,13
488,3,7
489,3,8
490,18,5
491,8,16
492,9,3
493,16,5
494,10,4
495,20,9
496,4,6
497,8,6
498,13,18
499,20,5
500,15,3
501,8,2
502,11,7
503,15,17
504,14,20
505,8,12
506,16,1
507,3,6
508,1,5
509,13,14
510,10,20
511,20,3
512,15,18
513,1,9
514,16,13
515,18,10
516,2,12
517,9,3
518,18,11
519,9,14
520,8,1
521,17,7
522,2,17
523,16,14
524,1,14
525,16,8
526,7,5
527,19,8
528,1,16
529,7,14
530,6,1
531,2,11
532,4,14
533,10,2
534,13,2
535,1,10
536,12,8
537,5,20
538,9,1
539,14,1
540,4,4
541,18,15
542,20,6
543,19,10
544,1,7
545,4,14
546,20,12
547,4,7
548,7,8
549,5,15
550,4,18
551,17,4
552,19,8
553,13,1
554,3,20
555,16,12
556,2,3
557,2,9
558,3,8
559,15,18
560,14,4
561,12,6
562,4,3
563,18,1
564,20,19
565,6,18
566,12,1
567,8,10
568,13,17
569,15,13
570,12,11
571,20,13
572,10,11
573,1,13
574,4,15
575,8,16
576,13,1
577,2,14
578,2,8
579,5,7
580,19,9
581,13,2
582,6,7
583,20,12
584,11,7
585,10,10
586,15,6
587,9,16
588,14,8
589,19,1
590,20,1
591,7,2
592,20,11
593,7,17
594,18,4
595,11,16
596,14,7
597,9,4
598,18,2
599,8,18
600,3,6
601,9,12
602,1,20
603,17,11
604,11,9
605,19,5
606,4,20
607,19,13
608,13,13
609,15,4
610,15,6
611,6,12
612,20,13
613,1,10
614,15,19
615,17,9
616,3,13
617,7,9
618,10,7
619,1,11
620,8,4
621,2,8
622,2,7
623,20,16
624,16,13
625,8,9
626,15,19
627,16,18
628,4,10
629,7,2
630,8,8
631,15,6
632,6,3
633,5,1
634,8,10
635,5,11
636,17,7
637,10,19
638,9,8
639,11,10
640,12,3
641,10,5
642,18,5
643,2,7
644,18,14
645,5,16
646,16,19
647,2,18
648,15,4
649,13,6
650,5,1
651,11,5
652,19,7
653,5,6
654,3,5
655,10,3
656,13,3
657,8,1
658,1,5
659,19,1
660,6,9
661,8,15
662,18,11
663,20,1
664,10,10
665,11,16
666,18,9
667,14,2
668,7,3
669,12,20
670,15,16
671,18,1
672,1,12
673,6,14
674,5,18
675,19,11
676,1,13
677,11,15
678,18,16
679,16,6
680,12,20
681,5,18
682,3,1
683,2,10
684,8,3
685,7,10
686,14,14
687,4,8
688,7,11
689,8,14
690,15,5
691,5,18
692,19,13
693,4,1
694,13,14
695,19,16
696,10,20
697,14,14
698,6,19
699,3,1
700,11,19
701,14,5
702,6,14
703,19,7
704,10,18
705,19,17
706,19,17
707,3,10
708,17,17
709,13,4
710,8,5
711,6,19
712,5,2
713,1,20
714,8,12
715,11,15
716,17,16
717,11,17
718,5,20
719,16,13
720,19,4
721,3,17
722,5,16
723,12,13
724,14,4
725,13,3
726,4,18
727,7,4
728,8,12
729,10,20
730,9,6
731,3,14
732,2,9
733,8,13
734,12,3
735,9,13
736,19,15
737,8,2
738,7,12
739,4,19
740,20,8
741,16,9
742,17,3
743,18,14
744,18,6
745,10,10
746,12,4
747,2,7
748,3,11
749,16,7
750,6,4
751,3,13
752,7,15
753,19,16
754,7,5
755,12,9
756,3,14
757,7,13
758,11,17
759,2,12
760,8,2
761,3,10
762,8,11
763,18,18
764,17,13
765,9,4
766,12,15
767,9,13
768,12,19
769,20,13
770,12,11
771,6,4
772,13,1
773,12,2
774,1,2
775,9,17
776,6,17
777,20,12
778,20,8
779,19,6
780,5,11
781,5,17
782,5,17
783,19,12
784,15,19
785,3,7
786,16,12
787,19,20
788,10,16
789,10,4
790,2,8
791,12,11
792,15,4
793,20,13
794,17,7
795,4,17
796,20,11
797,2,6
798,15,20
799,8,5
800,8,11
801,16,4
802,16,7
803,9,19
804,10,16
805,1,14
806,20,1
807,15,3
808,16,1
809,13,17
810,14,3
811,16,3
812,20,4
813,7,3
814,18,12
815,9,8
816,14,19
817,7,2
818,6,12
819,15,4
820,16,4
821,2,14
822,2,13
823,10,3
824,17,17
825,18,6
826,19,20
827,4,9
828,5,15
829,1,18
830,18,9
831,8,10
832,2,19
833,4,16
834,8,10
835,13,11
836,9,13
837,19,18
838,17,12
839,14,8
840,19,7
841,12,8
842,9,3
843,2,11
844,6,9
845,17,9
846,2,10
847,7,17
848,9,12
849,9,10
850,17,6
851,19,2
852,14,10
853,8,7
854,12,20
855,6,2
856,2,19
857,19,2
858,19,14
859,8,4
860,14,14
861,2,2
862,10,9
863,14,6
864,5,1
865,14,14
866,9,4
867,7,16
868,18,12
869,20,19
870,19,17
871,15,20
872,4,8
873,11,12
874,1,7
875,9,7
876,17,2
877,1,5
878,11,1
879,15,18
880,7,8
881,16,3
882,20,9
883,5,3
884,20,11
885,2,3
886,18,5
887,5,20
888,3,13
889,2,6
890,13,13
891,18,9
892,2,8
893,1,10
894,15,8
895,7,12
896,1,15
897,12,8
898,1,15
899,16,3
900,15,5
901,12,11
902,7,15
903,10,5
904,18,10
905,16,18
906,9,3
907,18,15
908,3,19
909,12,12
910,4,19
911,6,9
912,14,16
913,12,13
914,20,20
915,10,11
916,10,1
917,14,20
918,7,2
919,8,5
920,3,9
921,4,5
922,3,12
923,11,13
924,9,10
925,2,3
926,18,1
927,9,5
928,17,16
929,2,17
930,19,1
931,1,15
932,3,6
933,10,10
934,20,20
935,8,19
936,14,7
937,18,7
938,1,2
939,7,1
940,4,15
941,5,20
942,17,13
943,3,7
944,12,7
945,5,11
946,7,7
947,14,5
948,5,1
949,20,7
950,17,11
951,19,12
952,1,10
953,3,18
954,16,14
955,11,19
956,12,9
957,4,1
958,14,3
959,16,14
960,6,13
961,5,12
962,2,7
963,1,18
964,16,1
965,2,5
966,8,11
967,4,9
968,11,19
969,1,15
970,15,5
971,2,15
972,17,3
973,1,14
974,5,20
975,11,12
976,6,6
977,18,20
978,8,7
979,20,3
980,15,1
981,11,5
982,18,8
983,17,18
984,1,16
985,12,1
986,9,18
987,11,12
988,9,17
989,5,7
990,9,4
991,10,17
992,14,12
993,13,5
994,12,6
995,9,9
996,19,3
997,3,15
998,7,15
999,14,3
1000,1,1
1001,3,1
1002,12,7
1003,10,4
1004,19,19
1005,5,11
1006,14,20
1007,1,12
1008,2,10
1009,19,16
1010,11,13
1011,6,17
1012,9,9
1013,9,13
1014,17,19
1015,16,19
1016,19,20
1017,15,16
1018,3,9
1019,12,10
1020,10,18
1021,1,17
1022,12,17
1023,1,13
1024,9,20
1025,5,9
1026,9,7
1027,8,6
1028,17,10
1029,5,7
1030,18,7
1031,14,5
1032,15,9
1033,6,10
1034,6,16
1035,5,5
1036,1,11
1037,13,19
1038,11,15
1039,18,5
1040,13,7
1041,18,3
1042,14,5
1043,8,12
1044,11,8
1045,1,7
1046,3,15
1047,7,8
1048,2,12
1049,1,3
1050,10,3
1051,14,12
1052,15,15
1053,2,11
1054,13,11
1055,16,8
1056,3,10
1057,13,14
1058,19,10
1059,7,9
1060,13,18
1061,5,10
1062,6,13
1063,2,5
1064,18,2
1065,10,18
1066,17,3
1067,6,13
1068,10,6
1069,18,1
1070,5,5
1071,8,11
1072,10,18
1073,5,8
1074,9,9
1075,5,7
1076,20,4
1077,13,6
1078,5,1
1079,8,3
1080,16,7
1081,20,2
1082,12,9
1083,1,13
1084,20,1
1085,2,19
1086,4,17
1087,8,5
1088,12,3
1089,10,9
1090,12,16
1091,15,9
1092,14,2
1093,7,11
1094,7,19
1095,11,8
1096,2,13
1097,17,7
1098,19,10
1099,14,13
1100,7,17
1101,6,17
1102,10,4
1103,7,16
1104,15,18
1105,4,9
1106,10,14
1107,6,4
1108,19,17
1109,4,8
1110,13,20
1111,12,1
1112,4,3
1113,9,7
1114,15,12
1115,18,14
1116,8,14
1117,19,1
1118,17,16
1119,2,17
1120,17,14
1121,20,3
1122,12,7
1123,14,15
1124,3,2
1125,3,11
1126,5,16
1127,14,16
1128,14,11
1129,13,12
1130,12,13
1131,6,16
1132,15,1
1133,3,6
1134,7,7
1135,1,14
1136,5,13
1137,17,3
1138,10,17
1139,18,2
1140,2,19
1141,20,2
1142,18,20
1143,17,5
1144,10,3
1145,15,4
1146,7,9
1147,15,8
1148,11,19
1149,18,17
1150,13,3
1151,16,16
1152,3,8
1153,8,1
1154,2,11
1155,13,2
1156,14,8
1157,20,19
1158,18,2
1159,8,8
1160,2,13
1161,6,11
1162,1,19
1163,10,9
1164,13,5
1165,11,1
1166,9,1
1167,4,18
1168,17,10
1169,6,4
1170,8,5
1171,5,3
1172,12,11
1173,3,19
1174,14,3
1175,14,6
1176,15,3
1177,3,8
1178,8,9
1179,9,18
1180,20,15
1181,12,6
1182,12,8
1183,2,5
1184,1,18
1185,20,4
1186,17,1
1187,14,3
1188,13,16
1189,18,8
1190,11,7
1191,13,4
1192,12,6
1193,20,4
1194,13,2
1195,6,14
1196,18,19
1197,5,8
1198,4,20
1199,9,10
1200,12,20
1201,13,12
1202,4,1
1203,7,6
1204,14,17
1205,1,5
1206,11,10
1207,10,15
1208,15,18
1209,17,5
1210,2,13
1211,15,20
1212,18,17
1213,9,14
1214,17,7
1215,7,4
1216,3,11
1217,16,5
1218,19,4
1219,2,1
1220,10,15
1221,18,6
1222,1,5
1223,12,7
1224,20,12
1225,18,6
1226,12,1
1227,7,10
1228,7,3
1229,16,13
1230,11,11
1231,1,10
1232,2,2
1233,15,17
1234,4,3
1235,4,20
1236,17,7
1237,1,6
1238,6,11
1239,20,9
1240,13,13
1241,7,7
1242,8,7
1243,7,1
1244,20,5
1245,16,8
1246,14,17
1247,4,3
1248,12,6
1249,10,7
1250,13,8
1251,6,4
1252,6,16
1253,1,9
1254,7,7
1255,3,10
1256,11,11
1257,11,11
1258,8,6
1259,15,11
1260,20,10
1261,14,18
1262,9,11
1263,2,2
1264,18,4
1265,12,7
1266,4,10
1267,11,20
1268,2,19
1269,14,5
1270,10,11
1271,10,19
1272,12,7
1273,1,10
1274,6,7
1275,13,15
1276,5,14
1277,3,8
1278,15,3
1279,9,19
1280,10,15
1281,19,17
1282,7,15
1283,17,18
1284,15,8
1285,2,9
1286,14,19
1287,9,5
1288,18,16
1289,13,15
1290,11,15
1291,8,7
1292,18,11
1293,6,17
1294,6,7
1295,4,5
1296,17,17
1297,17,15
1298,19,14
1299,8,8
1300,13,18
1301,20,4
1302,18,7
1303,16,3
1304,13,4
1305,18,1
1306,2,15
1307,4,2
1308,15,3
1309,9,9
1310,8,16
1311,8,19
1312,10,19
1313,13,5
1314,10,11
1315,16,8
1316,1,18
1317,4,17
1318,8,7
1319,9,18
1320,11,12
1321,8,17
1322,6,7
1323,2,1
1324,10,16
1325,18,10
1326,12,7
1327,12,20
1328,3,12
1329,19,14
1330,13,5
1331,2,8
1332,13,17
1333,3,11
1334,12,16
1335,16,4
1336,9,20
1337,4,7
1338,7,19
1339,9,18
1340,8,2
1341,11,3
1342,17,16
1343,1,9
1344,10,6
1345,14,17
1346,10,17
1347,2,9
1348,18,12
1349,17,18
1350,19,5
1351,3,11
1352,3,15
1353,1,19
1354,6,8
1355,16,6
1356,2,12
1357,15,15
1358,10,17
1359,9,2
1360,12,6
1361,13,19
1362,20,12
1363,12,16
1364,6,15
1365,19,7
1366,16,20
1367,16,7
1368,16,7
1369,2,18
1370,8,18
1371,11,4
1372,19,5
1373,9,2
1374,9,7
1375,11,20
1376,8,1
1377,7,16
1378,1,9
1379,7,7
1380,11,9
1381,13,2
1382,4,14
1383,11,11
1384,17,15
1385,14,17
1386,2,18
1387,15,16
1388,4,19
1389,13,7
1390,4,11
1391,20,12
1392,15,5
1393,15,14
1394,13,10
1395,2,20
1396,20,14
1397,10,10
1398,7,10
1399,11,1
1400,11,6
1401,20,18
1402,17,9
1403,3,11
1404,1,16
1405,12,4
1406,5,7
1407,7,18
1408,14,8
1409,11,1
1410,9,8
1411,2,13
1412,20,14
1413,7,12
1414,9,15
1415,2,11
1416,19,6
1417,16,16
1418,17,16
1419,4,17
1420,5,4
1421,13,5
1422,10,7
1423,16,10
1424,9,16
1425,19,7
1426,6,13
1427,17,18
1428,11,10
1429,3,16
1430,10,18
1431,14,3
1432,6,14
1433,11,18
1434,10,1
1435,1,15
1436,16,12
1437,18,16
1438,12,17
1439,20,16
1440,5,4
1441,5,15
1442,5,9
1443,7,1
1444,7,8
1445,8,14
1446,11,11
1447,16,15
1448,5,9
1449,17,10
1450,18,20
1451,3,6
1452,1,13
1453,7,4
1454,14,5
1455,5,11
1456,20,12
1457,12,4
1458,18,19
1459,16,10
1460,1,19
1461,14,17
1462,8,12
1463,20,12
1464,1,13
1465,19,8
